"Data","Municipio","Confirmados","Ultimo_Confirmado_Por_100k_habitantes","Novos_Confirmados_Dia","Mortos","Novos_Mortos_Dia","Ultimo_Rate_Mortos","is_repeated","Regiao","Latitude","Longitude","Area","Populacao","Densidade_Demografica","Tx_Geomet_Cresc_Anual_Popul_2010_2020","Grau_Urbanizacao","Ind_Envelhecimento","Popul_Menos_15Anos","Popul_60Anos_Mais","Razao_Sexos","Ind_Isolamento(%)","Total_Leitos_UTI_Adulto","Total_Leitos_UTI_Pediatrica","Total_SUS","Total_SUS_Pediatrica"
"11/04/2020","Guarulhos",191,"1.384.879",13,16,0,0.0838,"False","Leste",-23.4543,-46.5337,318.68,1351275,4240.23,1.02,100.0,57.41,20.97,12.04,95.01,58,23,2,0,0
"11/04/2020","Itapecerica da Serra",27,"1.536.772",1,1,0,0.037,"False","Sudoeste",-23.7154,-46.8526,150.74,169619,1125.24,1.08,99.17,48.05,22.36,10.74,99.46,61,0,0,0,0
"11/04/2020","Itapevi",17,"715.187",0,4,0,0.2353,"False","Oeste",-23.5493,-46.9332,82.66,237714,2875.8,1.72,100.0,42.1,23.08,9.72,96.78,56,0,0,0,0
"11/04/2020","Itaquaquecetuba",25,"67.418",1,0,0,0.0,"False","Leste",-23.4849,-46.3495,82.62,370589,4485.46,1.44,100.0,45.33,22.35,10.13,96.77,61,0,0,0,0
"11/04/2020","Jandira",3,"240.121",0,0,0,0.0,"False","Oeste",-23.528,-46.9028,17.45,123603,7083.27,1.34,100.0,52.93,20.51,10.85,95.76,61,0,0,0,0
"11/04/2020","Mairiporã",7,"698.749",0,2,0,0.2857,"False","Norte",-23.3157,-46.5824,320.7,98622,307.52,2.02,92.18,72.45,18.48,13.39,100.69,63,0,0,0,0
"11/04/2020","Mauá",43,"90.926",1,0,0,0.0,"False","Sudeste",-23.6666,-46.4599,61.91,460132,7432.27,1.0,100.0,66.02,19.03,12.56,95.49,58,0,0,0,0
"11/04/2020","Mogi das Cruzes",56,"125.605",6,2,0,0.0357,"False","Leste",-23.5393,-46.2167,712.54,432905,607.55,1.12,92.75,70.73,19.84,14.03,94.79,58,0,0,0,0
"11/04/2020","Osasco",127,"1.818.395",6,8,0,0.063,"False","Oeste",-23.5334,-46.7915,64.95,680964,10484.43,0.21,100.0,68.76,19.89,13.68,92.8,57,30,0,0,0
"11/04/2020","Poá",9,"76.627",0,1,0,0.1111,"False","Leste",-23.5338,-46.3477,17.26,115538,6693.97,0.87,98.42,61.87,21.35,13.21,94.37,62,0,0,0,0
"11/04/2020","Ribeirão Pires",16,"129.667",1,0,0,0.0,"False","Sudeste",-23.7082,-46.4042,99.08,118968,1200.73,0.52,100.0,92.74,17.61,16.33,95.64,66,0,0,0,0
"11/04/2020","Rio Grande da Serra",5,"983.362",1,0,0,0.0,"False","Sudeste",-23.7442,-46.3975,36.34,49816,1370.83,1.27,100.0,59.08,19.8,11.7,97.42,0,0,0,0,0
"11/04/2020","Santa Isabel",1,"174.259",0,0,0,0.0,"False","Leste",-23.3158,-46.2254,363.33,55086,151.61,0.89,81.17,73.29,20.1,14.73,98.71,0,1,0,0,0
"11/04/2020","Santana de Parnaíba",33,"236.649",1,0,0,0.0,"False","Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,56,0,0,0,0
"11/04/2020","Santo André",142,"1.975.589",3,3,0,0.0211,"False","Sudeste",-23.6742,-46.5436,175.78,693867,3947.36,0.26,100.0,102.66,17.31,17.77,92.45,55,30,0,0,0
"11/04/2020","Suzano",32,"1.075.135",2,3,2,0.0938,"False","Leste",-23.5453,-46.3116,206.24,291002,1410.99,1.05,96.48,61.53,20.75,12.77,95.86,58,0,0,0,0
"11/04/2020","São Bernardo do Campo",172,"2.050.216",-2,9,0,0.0523,"False","Sudeste",-23.6898,-46.5648,409.53,812086,1982.97,0.6,98.39,81.93,18.38,15.06,93.57,56,119,10,0,0
"11/04/2020","São Caetano do Sul",61,"3.785.834",-1,2,1,0.0328,"False","Sudeste",-23.6234,-46.5552,15.33,151244,9865.88,0.14,100.0,157.5,14.66,23.1,86.82,54,30,4,0,0
"11/04/2020","São Paulo",6131,"5.004.072",149,422,13,0.0688,"False","Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,54,957,20,20,0
"11/04/2020","Taboão da Serra",71,"2.451.116",-1,5,0,0.0704,"False","Sudoeste",-23.6229,-46.7817,20.39,283871,13922.07,1.52,100.0,52.19,22.08,11.52,92.35,55,0,0,0,0
"11/04/2020","Vargem Grande Paulista",5,"950.625",0,3,0,0.6,"False","Sudoeste",-23.5998,-47.0225,42.49,52762,1241.75,2.09,100.0,54.21,22.15,12.01,97.95,0,0,0,0,0
"12/03/2020","Ferraz de Vasconcelos",1,"0.51473",1,0,0,0.0,"False","Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,32,0,0,0,0
